Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,latitude,longitude
My Reality,2011,3122 16th Street,,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,Michael Keaton,37.7650275,-122.422579
My Reality,2011,Grant Avenue & Union Street,,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,Kim Novak,37.800664,-122.4076098
Need For Speed,2014,Mason St from Pine to Sacramento,,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,36.778261,-119.4179324
Need For Speed,2014,Powell St. from Geary to Sacramento,,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,36.778261,-119.4179324
Need For Speed,2014,California St from Taylor to Powell,,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,36.778261,-119.4179324
Need For Speed,2014,Embarcadero from Broadway to Folsom,,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,36.778261,-119.4179324
Never Die Twice,2001,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Scott / Kelly Films,,Sean A.F. Scott,Sean A.F. Scott & Nancy L. Kelly,Claudia Christian,,Courtney B. Vance,36.778261,-119.4179324
Night of Henna,2005,,,Zee Films,Illuminare Entertainment,Hassan Zee,Hassan Zee,Joyce Carlin,Nancy Carlin,,37.7749295,-122.4194155
Nina Takes a Lover,1994,,,Alan Jacobs Productions,Columbia TriStar Home Video,Alan Jacobs,Alan Jacobs,Laura San Giacomo,,,37.7749295,-122.4194155
Nine Months,1995,Jack Kerouac Alley between Columbus & Grant Streets,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,36.778261,-119.4179324
Nine Months,1995,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,36.778261,-119.4179324
Nine Months,1995,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County. ,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,36.778261,-119.4179324
Nine Months,1995,Pierce Street between Pacific & Green Streets,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,36.778261,-119.4179324
Nine Months,1995,Montgomery & Vallejo Streets,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,37.799174,-122.4040675
Nine Months,1995,Marathon Plaza (303 2nd Street),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,36.778261,-119.4179324
Nine Months,1995,Jones Street at Bush,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,37.7895596,-122.4137276
Nine Months,1995,Chrissy Field,Chrissy Field was originally an airfield for the Presidio Army Base. ,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Forest Whitaker,37.8039069,-122.4640618
Nine Months,1995,Belli Building (722 Montgomery Street at Washington),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,36.778261,-119.4179324
Nine Months,1995,Alamo Square,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,37.77634219999999,-122.4346334
Nine Months,1995,60 Spear Street,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,37.7925749,-122.3945751
Nine Months,1995,"101 Henry Adams Place, 4th Floor",,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,37.7681527,-122.4034569
Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Ving Rhames,36.778261,-119.4179324
Nine Months,1995,Wasteland Store (1600 Haight Street),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,36.778261,-119.4179324
Nine Months,1995,Star's Café (55 Golden Gate Avenue at Van Ness),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Ving Rhames,36.778261,-119.4179324
Nine to Five,1980,Albert S. Samuels Clock (856 Market Street between Powell and Stockton),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Colin Higgins,Colin Higgins,Jane Fonda,Lily Tomlin,,36.778261,-119.4179324
Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),,Warner Bros. Pictures,Warner Bros. Pictures,Vincent Sherman,N. Richard Nash,Ann Sheridan,Kent Smith,,36.778261,-119.4179324
On the Beach,1959,,,Stanley Kramer Productions,United Artists,Stanley Kramer,,Gregory Peck,Ava Gardner,Marlo Thomas,37.7749295,-122.4194155
On the Road,2010,Sacramento & Montgomery Streets,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,37.7937916,-122.402996
On the Road,2010,Filbert & Leavenworth Streets,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,37.8003487,-122.4176339
On the Road,2010,2017 23rd Street,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,37.754504,-122.400041
On the Road,2010,Bay Bridge,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,37.8107056,-122.3643287
Pacific Heights,1990,Financial District,,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,Bruce Dern,37.7945742,-122.3999445
Pacific Heights,1990,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,Paul Rodriguez,37.7941378,-122.4077914
Pacific Heights,1990,Texas & 19th Streets (Potrero Hill),,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,,37.761359,-122.395438
Pal Joey,1957,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,,37.8023949,-122.4058222
Pal Joey,1957,Barbary Coast,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establisments out of business.",Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,,37.784196,-122.40811
Pal Joey,1957,"Spreckles Mansion (2080 Washington Street, Pacific Heights)",,Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,,36.778261,-119.4179324
Panther,1995,,,Gramercy Pictures,PolyGram Video,Mario Van Peebles,Mario Van Peebles,Kadeem Hardison,Bookeem Woodbine,LL Cool J,37.7749295,-122.4194155
Parks and Recreation,2014,Larkin & Fulton,,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,37.7795923,-122.4167887
Parks and Recreation,2014,Fibert from Hyde to Leavenworth,,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,36.778261,-119.4179324
Parks and Recreation,2014,Columbus and Green,,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,37.7995158,-122.4089471
Parks and Recreation,2014,Embarcadero & Market,,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,37.794427,-122.39455
Patch Adams,1998,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. ",Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,,36.778261,-119.4179324
Patch Adams,1998,Presidio (Golden Gate National Recreation Area),"In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,Spencer Tracy,37.7988737,-122.4661937
Patch Adams,1998,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,,37.8235515,-122.370648
Patty Hearst,1988,Bank of America (38th Street at Balboa Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,,36.778261,-119.4179324
Patty Hearst,1988,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Spencer Tracy,36.778261,-119.4179324
Petulia,1968,Cala Foods (California Street and Hyde),,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,36.778261,-119.4179324
Petulia,1968,Pier 43 1/2,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,37.8088161,-122.409324
Petulia,1968,2417 Franklin Street,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,37.79669,-122.425606
Petulia,1968,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,37.7702043,-122.4701584
Petulia,1968,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Donna Reed,37.7924958,-122.4100354
Petulia,1968,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,37.8105374,-122.4770634
Petulia,1968,307 Filbert Street,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,37.8018463,-122.4050336
Phenomenon,1996,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Touchstone Pictures,Buena Vista Pictures,Jon Turteltaub,Gerald Dipego,John Travolta,Kyra Sedgwick,Lauryn Hill,37.8235515,-122.370648
Playing Mona Lisa,2000,Conservatory of Flowers (Golden Gate Park),"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",The Bubble Factory,Buena Vista Pictures,Matthew Huffman,Marni Freedman,Alicia Witt,Harvey Fierstein,,37.7726683,-122.4587578
"Play it Again, Sam",1972,15-17 Fresno Street,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,River Phoenix,37.7986421,-122.4059833
"Play it Again, Sam",1972,Balboa at 22nd Avenue,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Lauryn Hill,37.7764455,-122.481262
"Play it Again, Sam",1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",The theater closed in 1985.,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Lauryn Hill,36.778261,-119.4179324
"Play it Again, Sam",1972,Surf Theater (4520 Irving Street),,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Lauryn Hill,36.778261,-119.4179324
"Play it Again, Sam",1972,Hyde Street Cable Car,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Lauryn Hill,36.778261,-119.4179324
"Play it Again, Sam",1972,Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,River Phoenix,37.8074647,-122.4208864
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Perlsea Company,Parmaount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,,37.7920733,-122.4134177
Pleasure of His Company,1961,2700 Vallejo Street (Pacific Heights),,Perlsea Company,Parmaount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,,37.794632,-122.442027
Point Blank,1967,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,,37.8105374,-122.4770634
Point Blank,1967,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,,37.8269775,-122.4229555
Pretty Woman,1990,,,Touchstone Pictures,Buena Vista Pictures,Garry Marshall,J.F. Lawton,Richard Gere,Julia Roberts,,37.7749295,-122.4194155
Psych-Out,1968,,,Dick Clark Productions,American International Pictures (AIP),Richard Rush,Betty Tusher,Jack Nicholson,Susan Strasberg,,37.7749295,-122.4194155
Quicksilver,1986,Pacific Stock Exchange,,Columbia Pictures Corporation,Columbia Pictures,Thomas Michael Donnelly,Thomas Michael Donnelly,Kevin Bacon,Jami Gertz,,36.778261,-119.4179324
Quitters,2014,McLaren Lodge,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,37.7718604,-122.4547115
Quitters,2014,Bechelli's Flower Market Café,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,36.778261,-119.4179324
Quitters,2014,923 Vermont St.,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,37.757972,-122.403544
Quitters,2014,Geary from 22nd Ave to Arguello,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,36.778261,-119.4179324
Quitters,2014,Clement St. from 6th to 7th Ave. ,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,36.778261,-119.4179324
Quitters,2014,Wine Impression,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,36.778261,-119.4179324
Quitters,2014,Clement St. from 5th and 7th Ave. ,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,36.778261,-119.4179324
Quitters,2014,Claire Lilienthal Elementary School,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,37.7868956,-122.4577854
Quitters,2014,Yerba Buena Gardens,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,37.785094,-122.4027396
Quitters,2014,Tonga Room,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,36.778261,-119.4179324
Quitters,2014,Cal-Mart Supermarket,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,36.778261,-119.4179324
Quitters,2014,4015 21st St,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,37.7558269,-122.436096
Quitters,2014,Tank Hill Park,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,37.7600983,-122.4477854
Quitters,2014,1536 Noe St.,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,37.74447,-122.431527
Quitters,2014,24 Hill St.,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,37.756276,-122.422225
Quitters,2014,21st St & Sanchez,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,37.7563644,-122.4300597
Raising Cain,1992,,,Pacific Western,Universal Pictures,Brian DePalma,Brian DePalma,John Lithgow,,,37.7749295,-122.4194155
Red Diaper Baby,2004,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)","Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Hello Hooker Productions,Sundance Channel,Doug Pray,Josh Kornbluth,Josh Kornbluth,,,36.778261,-119.4179324
Red Widow,2013,Golden Gate Ave & Jones,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.7820851,-122.4122427
Red Widow,2013,York & 24th St.,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.7528654,-122.4082022
Red Widow,2013,2nd St & Howard,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.7867936,-122.3982678
Red Widow,2013,Montgomery & Market Streets,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.7888201,-122.4019967
Red Widow,2013,Broadway & Taylor,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.7970376,-122.413529
Red Widow,2013,Mason & Sacramento St,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.7927865,-122.4110305
Red Widow,2013,Geary & 27th Ave,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.780062,-122.4868722
Red Widow,2013,Geary & 20th Ave,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.7802754,-122.4793726
Red Widow,2013,Pioneer Park at Coit Tower,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.8023949,-122.4058222
Red Widow,2013,Vallejo Street Garage,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.7982292,-122.4096139
Red Widow,2013,California & Davis St,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,37.7935225,-122.3976275
Rent,2005,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Rent Productions LLC,Columbia Pictures,Chris Columbus,Stephen Chbosky,Anthony Rapp,Rosario Dawson,,37.8235515,-122.370648
Rollerball,2002,,,Atlas Entertainment,MGM Home Entertainment,John McTiernan,William Harrison,Chris Klein,Jean Reno,,37.7749295,-122.4194155
Romeo Must Die,2000,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,,37.7941378,-122.4077914
Romeo Must Die,2000,Embarcadero Street,,Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,,37.8089085,-122.41427
San Andreas,2014,Broadway and Kearney,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.7980275,-122.4055358
San Andreas,2014,"Stage Work, 47 Julian St.",,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,36.778261,-119.4179324
San Andreas,2014,Hyde St. at Greenwich and Hyde St. at Lombard,"Characters walk to get a vantage point for Coit tower. 250 actors walking ""fleeing"" the city after earthquake","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,36.778261,-119.4179324
San Andreas,2014,"Asia Star Fantasy, 1126 Grant Ave.",Characters look for a form of communication with LA in a post-quake trashed city,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,36.778261,-119.4179324
San Andreas,2014,2nd St. at Townsend St.,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.7806303,-122.3905427
San Andreas,2014,Jefferson St. at Powell St.,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.808611,-122.4125379
San Andreas,2014,Grant St. at Bush St.,Characters walk down street and it's totally wrecked from a massive earthquake,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.7905548,-122.4056239
San Andreas,2014,Vallejo Garage Roof (Vallejo at Powell),,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,36.778261,-119.4179324
San Andreas,2014,Clay St. at Taylor,3 characters walk down the street. An earthquake shakes the city and stuff starts breaking. One character gets a shard of glass stuck in his leg.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.7934572,-122.4128401
San Andreas,2014,Bay St. at Polk,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.8043698,-122.423485
San Andreas,2014,Intersection of Lombard and Hyde,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.8020032,-122.4196662
San Andreas,2014,Mission between 3rd and 4th St.,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,36.778261,-119.4179324
San Andreas,2014,555 California,Characters walk out of broken window of 555 California out to Kearny St. Splinter unit films a car driving into the garage at 555 California,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.7921067,-122.4039722
San Andreas,2014,Grant between Bush and Market,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,36.778261,-119.4179324
San Andreas,2014,Coit Tower,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.8023949,-122.4058222
San Andreas,2014,TransAmerica Pyramid (600 Montgomery Street),,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.7952,-122.4028
San Andreas,2014,Washington Square,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.8009182,-122.410111
San Andreas,2014,Battery Spencer,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.8276735,-122.4818286
San Andreas,2014,Pier 43,Bystanders watch as a tsunami crashes over them,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.8090456,-122.4144998
San Andreas,2014,"Vallejo St. Garage, 766 Vallejo St.",Characters watch from roof of garage as tsunami hits SF waterfront,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,36.778261,-119.4179324
San Andreas,2014,Fort Baker,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.8439747,-122.477944
San Andreas,2014,AT&T Stadium,"3 characters run out of stadium, there is a group of people on the sidewalk, an earthquake hits, and they duck for cover","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.7785951,-122.3892698
San Andreas,2014,AT&T Stadium,two paragliders land on the field of AT&T Park,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,37.7785951,-122.3892698
San Andreas,2014,Water work in SF Bay,Characters drive in a high speed picture boat to see different views of the city.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,36.778261,-119.4179324
